key	value
status	ok
source_results_root	/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels/Results/04i_pseudotime_state_pathways
source_report_html	/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels/Results/04i_pseudotime_state_pathways/report/04i_pseudotime_state_pathways_report.html
canonical_reference_id	taoli_04i_etp2_24_day17_v1
exported_reference_dir	Results/manager/runs/figure7_20260717_172530/artifacts/figure7_state_pathway_reference/taoli_04i_etp2_24_day17_v1
exporter_script	Code/in-vivo/figure7/export_04i_state_pathway_reference.R
command	Rscript Code/in-vivo/figure7/export_04i_state_pathway_reference.R --results-root=/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels/Results/04i_pseudotime_state_pathways --output-dir=Results/manager/runs/figure7_20260717_172530/artifacts/figure7_state_pathway_reference/taoli_04i_etp2_24_day17_v1
stdout_log	Results/manager/runs/figure7_20260717_172530/logs/figure7_state_pathway_export.stdout.log
stderr_log	Results/manager/runs/figure7_20260717_172530/logs/figure7_state_pathway_export.stderr.log
started_at	2026-07-17T17:29:13-04:00
finished_at	2026-07-17T17:29:24-04:00
